2021-10-06 00:32:53,244 | train | INFO | Write row 0
2021-10-06 00:32:54,330 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854\model.pt
2021-10-06 00:32:54,330 | train | INFO | Update best record row 1, checkpoints inf -> 0.12999022845246136
2021-10-06 00:32:54,792 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854
2021-10-06 00:32:55,813 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854\best.pt
2021-10-06 00:36:51,992 | train | INFO | Write row 1
2021-10-06 00:36:52,403 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854
2021-10-06 00:36:52,404 | train | INFO | Early stopper, Early stopping counter 1/10
2021-10-06 00:40:46,164 | train | INFO | Write row 2
2021-10-06 00:40:46,592 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854
2021-10-06 00:40:46,594 | train | INFO | Early stopper, Early stopping counter 2/10
2021-10-06 00:44:40,090 | train | INFO | Write row 3
2021-10-06 00:44:40,501 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854
2021-10-06 00:44:40,502 | train | INFO | Early stopper, Early stopping counter 3/10
2021-10-06 00:48:32,180 | train | INFO | Write row 4
2021-10-06 00:48:32,600 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854
2021-10-06 00:48:32,602 | train | INFO | Early stopper, Early stopping counter 4/10
2021-10-06 00:52:23,760 | train | INFO | Write row 5
2021-10-06 00:52:24,883 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854\best.pt
2021-10-06 00:52:24,883 | train | INFO | Update best record row 6, checkpoints 0.12999022845246136 -> 0.11630819074646705
2021-10-06 00:52:25,300 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854
2021-10-06 00:52:25,301 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.12999022845246136 -> 0.11630819074646705
2021-10-06 00:52:26,408 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854\best.pt
2021-10-06 00:56:17,184 | train | INFO | Write row 6
2021-10-06 00:56:17,597 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854
2021-10-06 00:56:17,599 | train | INFO | Early stopper, Early stopping counter 1/10
2021-10-06 01:00:09,200 | train | INFO | Write row 7
2021-10-06 01:00:10,272 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854\best.pt
2021-10-06 01:00:10,273 | train | INFO | Update best record row 8, checkpoints 0.11630819074646705 -> 0.09719248698294873
2021-10-06 01:00:10,753 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854
2021-10-06 01:00:10,755 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.11630819074646705 -> 0.09719248698294873
2021-10-06 01:00:11,833 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854\best.pt
2021-10-06 01:04:03,247 | train | INFO | Write row 8
2021-10-06 01:04:04,364 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\timm_tf_efficientnetv2_m_20211006002854\best.pt
